Name,Achilles tendon stress,Ankle plantar/dorsiflexion angle,Ankle in/eversion angle,Ankle plantar/dorsiflexion moment,Ankle in/eversion moment,Ankle power,A/P GRF,M/L GRF,Vertical GRF,Knee flex/extension angle,Knee in/external rotation angle,A/P pelvic lean,Ipsi/contralateral pelvic lean,EMG activation for tibialis anterior ,EMG activation for gastrocnemius,EMG activation for soleus
120,68.53950607,7.9349,8.81504,2.67079,-0.173438,21.0061,0.357279,-6.40626,12.5385,28.1448,8.48692,23.5923,-2.89018,0.872061704,0.785324241,0.8804855
121,5.88349299,24.0356,5.86993,2.6472,-0.15992,18.5601,0.0632524,-4.79728,11.525,17.0775,-1.2752,27.2229,-0.970617,0.589392301,0.894497235,0.910886544
122,6.442532499,21.0598,5.83646,2.40832,-0.155491,18.1458,-0.0855813,-4.58248,10.1109,15.4777,-2.37767,27.0927,-1.18567,0.573610177,0.874001439,0.889550395
123,7.405011846,17.8785,5.78392,2.15193,-0.148707,17.0488,-0.172285,-4.35211,8.71056,13.9595,-3.45469,26.9525,-1.39046,0.558900914,0.852666327,0.866257338
124,9.347051625,14.5709,5.71285,1.88886,-0.140971,15.3837,-0.209307,-4.04544,7.43116,12.5435,-4.47947,26.8077,-1.57899,0.545617874,0.828254972,0.842560476
125,14.59291691,11.2266,5.62612,1.61241,-0.129568,13.1948,-0.192318,-3.65018,6.21147,11.2496,-5.42583,26.6638,-1.74498,0.532679683,0.802236178,0.817945559
126,72.03920283,7.93908,5.52856,1.32687,-0.117987,10.6321,-0.146958,-3.2122,4.9836,10.0972,-6.26965,26.5258,-1.8823,0.523428387,0.775213201,0.791825859
1,17.50452473,8.69033,5.1763,0.758547,-0.154061,-2.86173,0.606375,-0.654939,5.78281,45.8768,15.7312,26.4958,5.64172,0.964951426,0.944068658,0.283885824
2,12.1144407,10.3977,5.27759,1.15846,-0.212569,-4.70963,0.484513,-2.02662,7.43944,45.7972,16.5834,26.1674,5.29249,0.95244869,0.922343036,0.352528015
3,9.867329268,12.2067,5.41718,1.48385,-0.261939,-6.27376,0.340933,-2.53957,9.2616,45.7732,17.4933,25.9624,4.93513,0.939132421,0.898600513,0.411444186
4,10.63107445,16.6557,4.47674,2.99999,-0.32274,24.4101,-0.326647,-6.90627,16.0336,28.1117,23.7875,28.4959,-9.22791,0.572218998,0.189207906,0.999062251
5,14.38035054,13.583,4.15239,2.75511,-0.298697,26.505,-0.346113,-6.78069,14.4907,25.232,22.5555,28.3378,-10.1898,0.571177103,0.172564916,0.999666578
6,29.41503684,10.012,3.79511,2.46691,-0.27282,27.196,-0.367547,-6.50241,12.7664,22.2322,21.0267,28.2221,-11.1791,0.574455027,0.159647754,0.999953113
7,16.1713822,8.60921,-0.740306,0.639657,-0.328897,-3.03687,-0.04952,0.437379,10.8776,35.1783,-1.99744,14.3995,8.61852,0.987046319,0.993361372,0.989916001
8,8.220130378,18.4995,0.0180159,2.67243,-0.335593,14.1458,0.333428,-3.12123,16.5209,33.565,-1.09611,15.9812,6.16269,0.800447248,0.942238604,0.700073924
9,8.963725044,16.7986,-0.102488,2.48636,-0.299371,15.4057,0.216825,-3.25228,15.1506,32.3124,-1.88268,15.9179,5.79321,0.783726264,0.928694736,0.678810916
10,10.26309779,14.8193,-0.24622,2.26936,-0.261832,16.0137,0.136012,-3.31873,13.6424,30.997,-2.74388,15.8312,5.42469,0.766325513,0.910758443,0.656299802
11,12.95654259,12.5729,-0.410909,2.02541,-0.224891,15.879,0.0831562,-3.27969,12.0297,29.6293,-3.66606,15.7268,5.0616,0.749337704,0.890509295,0.638692171
12,21.11370901,10.0802,-0.591973,1.75778,-0.185787,14.959,0.0638141,-3.13538,10.3481,28.2234,-4.63005,15.6112,4.70802,0.732889897,0.869267018,0.621310541
13,3.891773492,22.4874,3.19833,3.58051,0.0180007,14.3654,0.324258,-5.0566,22.284,21.8775,12.4503,12.1767,-6.77991,0.808687663,0.945995665,0.944144023
14,4.202451456,20.8394,2.78636,3.46676,0.0220865,19.4805,0.165615,-5.79845,20.8126,19.1627,10.5872,12.4904,-7.4943,0.790121881,0.933708379,0.934487623
15,4.68371828,18.6855,2.32954,3.27368,0.0232956,24.2373,-0.0171046,-6.07667,19.1932,16.3521,8.32531,12.8887,-8.24787,0.770920888,0.92041835,0.923941155
16,5.618259212,15.9831,1.84481,3.02332,0.0242989,27.8873,-0.152569,-6.24445,17.3147,13.4797,5.74686,13.3536,-9.01866,0.752210482,0.906778099,0.913137742
17,8.038076851,12.6918,1.35098,2.71779,0.0304899,29.6138,-0.227396,-6.41545,15.1031,10.6081,2.96675,13.8654,-9.78184,0.736015404,0.892861356,0.899795116
18,24.76463616,8.79244,0.869706,2.35938,0.0318087,28.8762,-0.289865,-6.35493,12.6634,7.83713,0.129002,14.4058,-10.5133,0.719664358,0.878579644,0.884087932
